#Core: ddr2_phy - Instance: ddr_m0|ddr2_controller_phy_inst|ddr2_phy_inst
#Path, Setup Margin, Hold Margin
"Address Command (Slow 1200mV 85C Model)",3.300,1.247
"DQS vs CK (Slow 1200mV 85C Model)",1.315,1.288
"Mimic (Slow 1200mV 85C Model)",1.034,
"Phy (Slow 1200mV 85C Model)",1.034,0.285
"Phy Reset (Slow 1200mV 85C Model)",2.524,0.887
"Read Capture (Slow 1200mV 85C Model)",0.398,0.403
"Write (Slow 1200mV 85C Model)",0.443,0.659
 
"Address Command (Slow 1200mV 0C Model)",3.438,1.193
"DQS vs CK (Slow 1200mV 0C Model)",1.329,1.303
"Mimic (Slow 1200mV 0C Model)",1.081,
"Phy (Slow 1200mV 0C Model)",1.081,0.284
"Phy Reset (Slow 1200mV 0C Model)",2.870,0.798
"Read Capture (Slow 1200mV 0C Model)",0.397,0.402
"Write (Slow 1200mV 0C Model)",0.458,0.672
 
"Address Command (Fast 1200mV 0C Model)",3.690,1.125
"DQS vs CK (Fast 1200mV 0C Model)",1.422,1.367
"Mimic (Fast 1200mV 0C Model)",1.526,
"Phy (Fast 1200mV 0C Model)",1.526,0.133
"Phy Reset (Fast 1200mV 0C Model)",4.145,0.486
"Read Capture (Fast 1200mV 0C Model)",0.442,0.447
"Write (Fast 1200mV 0C Model)",0.537,0.737
